Hyperparameters,
Epochs Supervised, 50
Epochs Pretraining, 50
Batch size, 1024
Proxy task, NONE
Pretraining percentage, 0.00 %
Training percentage, 90.00 %
Validation percentage, 10.00 %
Specialized subset, 
Learning rate, 0.001
Random Seed, 500

Modelparameters,
# Layers, 10
# Heads, 3
Forward expansion, 2
Dropout, 0.0

Training metrics,
Best epoch, 47
Time to best epoch, 7h 8m

Performance metrics,
Accuracy, 98.743 %
False alarm rate, 15.717 %
Missed alarm rate, 20.700 %
Detection rate, 79.300 %
Precision, 84.283 %
Specificity, 99.457 %
Recall, 79.300 %
F1-Measure, 81.716 %
