Hyperparameters,
Epochs Supervised, 50
Epochs Pretraining, 50
Batch size, 128
Proxy task, NONE
Pretraining percentage, 0.00 %
Training percentage, 90.00 %
Validation percentage, 10.00 %
Specialized subset, 
Learning rate, 0.001
Random Seed, 500

Modelparameters,
Hidden size, 512
# Layers, 3

Training metrics,
Best epoch, 45
Time to best epoch, 10h 8m

Performance metrics,
Accuracy, 99.796 %
False alarm rate, 0.115 %
Missed alarm rate, 0.694 %
Detection rate, 99.306 %
Precision, 99.885 %
Specificity, 99.961 %
Recall, 99.885 %
F1-Measure, 99.885 %
