Hyperparameters,
Epochs Supervised, 50
Epochs Pretraining, 50
Batch size, 512
Proxy task, NONE
Pretraining percentage, 0.00 %
Training percentage, 90.00 %
Validation percentage, 10.00 %
Specialized subset, 
Learning rate, 0.001
Random Seed, 500

Modelparameters,
# Layers, 10
# Heads, 3
Forward expansion, 2
Dropout, 0.0

Training metrics,
Best epoch, 46
Time to best epoch, 8h 50m

Performance metrics,
Accuracy, 99.635 %
False alarm rate, 0.311 %
Missed alarm rate, 1.136 %
Detection rate, 98.864 %
Precision, 99.689 %
Specificity, 99.896 %
Recall, 99.689 %
F1-Measure, 99.689 %
