Hyperparameters,
Epochs Supervised, 50
Epochs Pretraining, 10
Batch size, 128
Proxy task, COMPOSITE
Pretraining percentage, 80.00 %
Training percentage, 10.00 %
Validation percentage, 10.00 %
Specialized subset, 
Learning rate, 0.001
Random Seed, 500

Modelparameters,
Hidden size, 512
# Layers, 3

Training metrics,
Best epoch, 47
Time to best epoch, 3h 13m

Performance metrics,
Accuracy, 99.733 %
False alarm rate, 0.229 %
Missed alarm rate, 0.829 %
Detection rate, 99.171 %
Precision, 99.771 %
Specificity, 99.923 %
Recall, 99.171 %
F1-Measure, 99.470 %
