,,3.2.1,3.2.2,3.2.3
Class, Alias, Accuracy, Accuracy, Accuracy
Botnet:ARES, 0, 96.053%, 92.000%, 92.000%
Brute Force:FTP-Patator, 1, 3.846%, 0.000%, 0.000%
Brute Force:SSH-Patator, 2, 92.126%, 94.882%, 90.800%
DDoS:LOIT, 3, 99.936%, 99.989%, 99.989%
DoS / DDoS:DoS GoldenEye, 4, 96.486%, 98.649%, 97.443%
DoS / DDoS:DoS Hulk, 5, 99.970%, 99.927%, 99.961%
DoS / DDoS:DoS Slowhttptest, 6, 98.329%, 99.282%, 98.561%
DoS / DDoS:DoS slowloris, 7, 94.241%, 96.891%, 95.052%
DoS / DDoS:Heartbleed, 8, 100.000%, 100.000%, 100.000%
Infiltration:Dropbox download - (Portscan + Nmap) from victim, 9, 92.637%, 93.096%, 92.671%
Normal, 10, 99.374%, 99.226%, 99.209%
PortScan:PortScan - Firewall off, 11, 99.736%, 99.748%, 99.931%
PortScan:PortScan - Firewall on, 12, 86.486%, 76.316%, 89.474%
Web Attack:Sql Injection, 13, 0.000%, 0.000%, 0.000%
Web Attack:XSS, 14, 0.000%, 0.000%, 0.000%

Benign, 10, 99.374%, 99.226%, 99.209%
Attack, !10, 98.640%, 98.746%, 98.712%
Overall, ALL, 99.189%, 99.105%, 99.084%
