,3.5.1,3.5.2,3.5.3
Epochs Supervised, 200, 200, 200
Proxy task, NONE, MASK, OBSCURE
Training percentage, 1.00 %, 1.00 %, 1.00 %
Specialized subset, , , 

\textbf{Training metrics},,,
Best epoch, 191, 129, 197
Time to best epoch, 1h 1m, 0h 41m, 1h 2m

\textbf{Performance metrics},,,
Accuracy, 98.328 %, 98.165 %, 98.256 %
Detection rate, 84.212 %, 98.260 %, 85.553 %
Precision, 72.790 %, 66.208 %, 71.088 %
Specificity, 98.845 %, 98.162 %, 98.722 %
F1-Measure, 78.086 %, 79.111 %, 77.653 %
False alarm rate, 27.210 %, 33.792 %, 28.912 %
Missed alarm rate, 15.788 %, 1.740 %, 14.447 %
