Hyperparameters,
Epochs Supervised, 200
Epochs Pretraining, 200
Batch size, 1024
Proxy task, NONE
Pretraining percentage, 0.00 %
Training percentage, 1.00 %
Validation percentage, 10.00 %
Specialized subset, 
Learning rate, 0.001
Random Seed, 500

Modelparameters,
# Layers, 10
# Heads, 3
Forward expansion, 2
Dropout, 0.0

Training metrics,
Best epoch, 83
Time to best epoch, 0h 29m

Performance metrics,
Accuracy, 99.189 %
False alarm rate, 1.839 %
Missed alarm rate, 1.360 %
Detection rate, 98.640 %
Precision, 98.161 %
Specificity, 99.374 %
Recall, 98.161 %
F1-Measure, 98.161 %
