Hyperparameters,
Epochs Supervised, 200
Epochs Pretraining, 10
Batch size, 1024
Proxy task, MASK
Pretraining percentage, 80.00 %
Training percentage, 1.00 %
Validation percentage, 10.00 %
Specialized subset, 
Learning rate, 0.001
Random Seed, 500

Modelparameters,
# Layers, 10
# Heads, 3
Forward expansion, 2
Dropout, 0.0

Training metrics,
Best epoch, 109
Time to best epoch, 0h 39m

Performance metrics,
Accuracy, 99.105 %
False alarm rate, 2.264 %
Missed alarm rate, 1.254 %
Detection rate, 98.746 %
Precision, 97.736 %
Specificity, 99.226 %
Recall, 97.736 %
F1-Measure, 97.736 %
