Hyperparameters,
Epochs Supervised, 50
Epochs Pretraining, 50
Batch size, 128
Proxy task, NONE
Pretraining percentage, 0.00 %
Training percentage, 10.00 %
Validation percentage, 10.00 %
Specialized subset, 
Learning rate, 0.001
Random Seed, 500

Modelparameters,
Hidden size, 512
# Layers, 3

Training metrics,
Best epoch, 25
Time to best epoch, 0h 44m

Performance metrics,
Accuracy, 98.654 %
False alarm rate, 18.834 %
Missed alarm rate, 19.316 %
Detection rate, 80.684 %
Precision, 81.166 %
Specificity, 99.313 %
Recall, 81.166 %
F1-Measure, 81.166 %
